text,persuasion,persuasion_id
YOu donation is going to help address these problems.,logical-appeal,2
I also want to assure you that Save the Children Makes huge impact on childrens lives internationally.,credibility-appeal,1
They are extremely professional and your donation will go to a trustable fund.,credibility-appeal,1
I simply want you to know what a great thing you are doing by donating and that your donation of 0.60 is going to help so many.,logical-appeal,2
The research team will collect all donations and send it to save the children ..,donation-information,5
Your donation of 0.60 will be deducted from your task payment.,donation-information,5
Have you heard of Save the children?,source-related-inquiry,4
it's an organization that helps support kids impacted by warzone violence,credibility-appeal,1
Last week CNN talked about the genocides starting in syria,credibility-appeal,1
ESpecially since children are being specifically targeted for rape and torture.,emotion-appeal,7
Some are being sold to ISIS,emotion-appeal,7
"Save the Children, the organization i mentioned before has been helping out a lot in the region.",credibility-appeal,1
They have been saving 250 kids/week.,credibility-appeal,1
They want to do more but lack funding,credibility-appeal,1
"True, but nothing and something are pretty different things.",emotion-appeal,7
Especially to a kid that is facing a future as a sex slave.,emotion-appeal,7
I donated a couple bucks last week.,self-modeling,8
But I think most can donate a dollar,foot-in-the-door,6
It's a fact that small donations by large numbers of people can have an impact.,logical-appeal,2
"A review of the tax exempt paperwork and financial statements, which are available for all tax exempt organizations, can help you weed out good from bad.",credibility-appeal,1
Save The Children is transparent,credibility-appeal,1
"I think you sell people short, especially since we are talking about numbers in a table.",logical-appeal,2
People can see where the numbers go.,logical-appeal,2
I'm not sure what 'legalese' you refer to.,logical-appeal,2
And these statements are not summaries.,logical-appeal,2
"They detail how every dollar is spent, as required by law.  =)",logical-appeal,2
Yes I like how they are clear about their financial reports and They are a big organization,credibility-appeal,1
"Yes they work in 120 different countries, on different issues.",credibility-appeal,1
"Same here, they have many option to help, We can donate or We can participate in their events",logical-appeal,2
Some of their members even travel to different countries to help in person.,credibility-appeal,1
"Yes, they are also connected to big companies like IKEA and Walt Disney.",credibility-appeal,1
I would like to see part of my purchase will be donated,self-modeling,8
"Exactly, I also like how there are HITs which encourage you to donate.",self-modeling,8
It makes me happy to donate part or all of my bonus,self-modeling,8
"like ""Save the Children"" has many options to donate.",donation-information,5
"You can directly donate through website, It has a minimum amount, but you can also donate part of the HIT reward at the end of the conversation, It can be 0 or 1 cent or any other amount",donation-information,5
I sure will.,self-modeling,8
I did it in the past.,self-modeling,8
and surprisingly my reward did not even change,self-modeling,8
"It would go to supporting children in developing countries, especially in war zones.",credibility-appeal,1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",emotion-appeal,7
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",emotion-appeal,7
"You can give any amount, even as little as $0.01 can help.",foot-in-the-door,6
"Yes, you are helping to ensure children's rights to health, education, safety, etc.",logical-appeal,2
Do you have children yourself?,personal-related-inquiry,3
Does this cause have a very personal meaning to you?,personal-related-inquiry,3
"What would you say to someone who does not have children, if you were trying to get them to help the cause?",task-related-inquiry,0
"Children really are the future and if humans have any hope of surviving in the long run, we need to raise our children to see the good in this world and help others",logical-appeal,2
"Yes, Hope you aware whats going with child who died from hunger",emotion-appeal,7
Your donation will be directly deducted from your task payment.,donation-information,5
You can choose any amount from $0 to all your payment.,donation-information,5
"Hello, are you interested in protection of rights of children?",source-related-inquiry,4
"There is organisation called Save the Children and donations are essential to ensure children's rights to health,education and safety.",credibility-appeal,1
"Here is their website, URL",credibility-appeal,1
They help children all around the world.,credibility-appeal,1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",emotion-appeal,7
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",emotion-appeal,7
"As you mentioned,this organisation has different programs,and one of them is to ""sponsor"" child.",credibility-appeal,1
You choose the location.,credibility-appeal,1
"No,but i want to donate some amount from this survey.",self-modeling,8
Research team will send money to this organisation.,donation-information,5
"Yes,the amount you want to donate is deducted from your reward.",donation-information,5
"I know that my small donation is not enough,so i am asking you to also donate some small percentage from reward.",foot-in-the-door,6
"Cool,the reward for this task is 0.30$ so i am  thinking about donating like 0.15$",self-modeling,8
"Well, if you go for full 0.30 i will have no moral right to donate less.",self-modeling,8
"Agree,small amount of money for US can mean a lot for people in third world countries.",foot-in-the-door,6
Do you have children?,personal-related-inquiry,3
Are you aware of the large amount of children in developing countries that could use assitance?,task-related-inquiry,0
Have you ever heard of the organization Save the Children and are you aware of what they do?,source-related-inquiry,4
Well they have a presence in every continent except Antarctica.,credibility-appeal,1
"Domestically, they provide early education, literacy, and health and disaster preparedness programs.",credibility-appeal,1
They are very renowned.,credibility-appeal,1
"Internationally, they are pioneers in health education and protection programs.",credibility-appeal,1
They create long lasting results to save lives and the quality of those lives.,credibility-appeal,1
I do not know anyone personally but but they are easily contacted through their website.,credibility-appeal,1
They are also involved in emergency response and global advocacy.,credibility-appeal,1
Have you ever donated to a charity?,task-related-inquiry,0
Charity is very important and everyone should have a fighting chance in life.,logical-appeal,2
86% of expenditures for this organization go directly to program services.,donation-information,5
I have in the past.,self-modeling,8
Your donation will be directly deducted from your task payment.,donation-information,5
You can choose any amount from $0 to all your payment.,donation-information,5
I am supposed to get you to donate some of your payment to a children's charity.,donation-information,5
It appears to be comething called Save the Children.,credibility-appeal,1
The information is coming from the person who provided this hit.,donation-information,5
"I found some more info:   Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,1
The address is  URL,credibility-appeal,1
You can donate part of your payment.,donation-information,5
Have you ever heard of Save the Children?,source-related-inquiry,4
They're a great charity I support.,self-modeling,8
I'm earning extra money on Amazon Turk to help support them.,self-modeling,8
"When you see all the crazy things happening in the world today, famine, genocide, etc. it seems so important to help.",logical-appeal,2
We are so lucky to live in a country where almost everyone has at least the minimum needed for survival.,logical-appeal,2
"So many poor kids around the world don't have food, clothing, shelter.",emotion-appeal,7
I'm so glad these amazing charities help those kids.,logical-appeal,2
You know some charities spend 75 percent of donations back into gathering more money and administration etc.,credibility-appeal,1
Save the Children is able to give away nearly everything they gather.,credibility-appeal,1
I just read they are going to be helping victims of the Hurricane in Hawaii.,credibility-appeal,1
I think I'm going to donate the money I earn today to Save the Children.,self-modeling,8
It won't be much but every penny counts.,foot-in-the-door,6
"We can't do much with 30 cents, but in another country that could make a big impact.",foot-in-the-door,6
"I read that the people sponsoring this research study are collecting money, and at the end we have the option of just telling them to keep our payment and give it to Save the Children instead of paying out to us.",donation-information,5
"Yeap, I think I need to look at the website again and see the new ways to donate.",credibility-appeal,1
"I am supposed to ask you if you care about people being killed in Syria and things like that, I don't want to cause you any emotional discomfort by talking about suffering people.",emotion-appeal,7
Is that okay?,task-related-inquiry,0
To talk about suffering people and children for a minute?,task-related-inquiry,0
"I think the refugee crisis is crazy, I am not sure what I would do if I was raising my kids in Syria.",emotion-appeal,7
If anyone could have fun in those spots it's kids though.,emotion-appeal,7
"I am a parent too, it feels so foreign what they are going through.",personal-story,9
"This whole chat thing is supposed to get me to get you to donate to Save the Children, but now I think they got me to do it instead!",donation-information,5
It's really easy to get cynical about life and if people really benefit from any of this.,logical-appeal,2
I usually donate in hopes I can at least feel like I did my part.,personal-story,9
"If I donated and some corrupt person took it, that's the worst karma and even worst scandal imaginable.",personal-story,9
The people who donate and people who are worrying about that are the same people.,personal-story,9
I don't have that great of a job or boss but I'd still  I would like to match a donation with you if you're willing to try help kids with me.,self-modeling,8
"I am parent and I feel like I need extra help sometimes too , but knowing that I could REALLY help them makes feel like a better parent.",personal-story,9
I think any amount you give (especially more) will definitely help and I want you to know that it would be deducted from you task payment.,logical-appeal,2
"Whatever you choose to do or the amount you want to give, I feel like you've changed my mind about charity, not the other way around, so I want to thank you for that.",logical-appeal,2
"So whatever you donate I can donate as well, and can actually help each other donate to the kids.",foot-in-the-door,6
"I might donate a little more I don't know how to do that but, I think they deserve it, I'm convince by talking to you that people regardless of how they feel about refugees that they can still care about kids.",self-modeling,8
You have to name a specific amount then I match it.,donation-information,5
Do small I think,donation-information,5
The research team will collect all donations and send it to Save the Children.,donation-information,5
The research team will collect all donations and send it to Save the Children.,donation-information,5
Yes I will match your 10 cent donation,self-modeling,8
"maybe say ""I will donate .10 of my .30 payment.""",self-modeling,8
This is a great charity and I will match you .10 cent payment.,self-modeling,8
I will match .10 cents,self-modeling,8
It supports childrens rights worldwide.,credibility-appeal,1
The research team will collect all donations and send it to Save the Children,donation-information,5
Yes working in Syria right now.,donation-information,5
The research team will collect all donations and send it to Save the Children,donation-information,5
Well the reason I'm contacting you is because I'm trying to find donors for the Save the Children foundation.,source-related-inquiry,4
"Your donation will help ensure children's rights to health, education and safety.",logical-appeal,2
Your donation can help children in need reach their full potential and what's really more important that our children as they are our future.,logical-appeal,2
Any amount of donation would help in this cause.,foot-in-the-door,6
It's surprising how little can make an impact on these kids.,foot-in-the-door,6
The amount of donation is completely up to you,donation-information,5
Everything you donate will go to the save the children foundation.,donation-information,5
Right now they are funding medical and school supplies for kids.,credibility-appeal,1
As well as preparing a fund to help with whatever damage comes from the hurricane that is bearing down on Hawaii right now.,credibility-appeal,1
"No, they do help children all over the world.",credibility-appeal,1
"Such as children in Syria who have lost everything from parents to homes due to the conflict they are experiencing, children in Africa who have been orphaned and just need care,",credibility-appeal,1
You can choose to donate your some or all of your payout from this task.,donation-information,5
The agreement will be recorded from this chat and deducted from your account.,donation-information,5
You can always donate more at  URL,donation-information,5
"Save the Children helps to promote childrens rights to health, education, and safety.",credibility-appeal,1
At this point a lot of the focus is children in war zones.,credibility-appeal,1
some of these donations can address the problem of the daily threat of violence,credibility-appeal,1
Maybe you could get more information on that by getting in contact with someone at  URL,credibility-appeal,1
"They help to provide basic health care, provide disaster relief, and help to ensure their rights to education and safety.",credibility-appeal,1
Your donation will be deducted from your task payment.,donation-information,5
I do believe you have to go to  URL,donation-information,5
I do believe you can get that information from their website.,donation-information,5
You were asking about the hurricane relief in Hawaii.,credibility-appeal,1
"From what I understand, they are on stand-by and ready to provide help if needed.",credibility-appeal,1
Were you able to read a little about the charity Save the Children?,source-related-inquiry,4
"Well, in case you didn't know, Save the Children is a great charity that focuses on helping kids around the world.",credibility-appeal,1
"They use almost 90% of all donations directly to help children in the areas of education, safety and emergency...",credibility-appeal,1
I'm not a fan of charities that keep a lot of their proceeds for themselves.,personal-story,9
That's one reason I really like this one.,personal-story,9
"Well, I know that the research team for this task can take a portion of our payment and send it directly to the Save the Children.",donation-information,5
"It's quick and easy, and even thought it may not seem like a lot of money, I think that every penny counts.",foot-in-the-door,6
I believe we can contribute any portion of our payment: $0 - 0.30.,donation-information,5
"In places like the middle east or southern Asia, even the smallest donation can go a long way.",foot-in-the-door,6
"I believe they've been around for almost 100 years, so hopefully they have a pretty effecient organization.",credibility-appeal,1
"I think we just have to wrap up our conversation, then the task organizers will automatically deduct our donations.",donation-information,5
By committing some of your earnings for this HIT towards the cause.,donation-information,5
What are you not sure about?,task-related-inquiry,0
I read an article yesterday that said 1000 children were saved from hunger shelters just by donations from online workers.,emotion-appeal,7
Do you need more info about this program?,task-related-inquiry,0
Have you sponsored any children in the past?,task-related-inquiry,0
"Have you heard of ""Save the Children"" before?",source-related-inquiry,4
Have you heard of the charity Save the Children?,source-related-inquiry,4
"They give children a healthy start in life, the opportunity to learn and protection from harm.",credibility-appeal,1
"When crisis strikes, they are always among the first to respond and the last to leave.",credibility-appeal,1
"They do whatever it takes to save children, transforming their lives and the future we all share.",credibility-appeal,1
It's a great charity that has helped more than 155 million children in 120 countries.,credibility-appeal,1
Do you ever donate to charity?,task-related-inquiry,0
Save the Children is a wonderful charity to donate to.,credibility-appeal,1
86% of money raised goes directly to the children.,credibility-appeal,1
9% goes to fundraising and 5% goes to management and general expenses.,credibility-appeal,1
The charity helps children in the US and worldwide.,credibility-appeal,1
"Africa, Asia, and the US are the top regions receiving aid from Save the Children.",credibility-appeal,1
Your donation goes a long way too!,logical-appeal,2
"I don't have that information at hand, but even .30 cents goes a long way!",foot-in-the-door,6
"You know 30 cents may not seem like a lot to you, but to a child who is hungry and sick, it can mean the difference between life and death.",logical-appeal,2
"Your donation is going to help a child eat, receive an education, and have access to life-saving medicine.",logical-appeal,2
Do you have any other questions?,task-related-inquiry,0
"Nope, it will all be handled on my end.",donation-information,5
"155 million children benefited last year, with your help we'll reach even more!",logical-appeal,2
Are you familiar with Save the Children?,source-related-inquiry,4
"It is worldwide and helps to feed, shelter and educate underprivileged kids around the world.",credibility-appeal,1
It is in terms of values.,credibility-appeal,1
The majority of funds go directly to the basic care needs of children.,credibility-appeal,1
Many have a better opportunity at life because they are nourished.,credibility-appeal,1
It is based entirely on need which is mostly in third world countries.,credibility-appeal,1
There is no greater service than to help.,logical-appeal,2
They serve all African countries and all continents except Antartica.,credibility-appeal,1
"They are in Fairfield, CT.",credibility-appeal,1
You can find more information at  URL,credibility-appeal,1
The children need your help.,logical-appeal,2
Please say yes to their most basic needs.,logical-appeal,2
Save the Children employs 1500 people worldwide.,credibility-appeal,1
That is how much our help is needed.,logical-appeal,2
Is there anything else you would like to know as you generously commit your fee?,task-related-inquiry,0
Save the Children is important because it supports protecting kids' rights to education and health and safety,credibility-appeal,1
"I have not yet through this charity, but it is my charity of choice for my next sponsored child",self-modeling,8
Their website is  URL if you would like to read more,credibility-appeal,1
Ok well you can actually donate from your task payment here!,donation-information,5
You can choose any amount from $0 to all of your payment,donation-information,5
I really recommend that you donate some!,self-modeling,8
I am doing my full payment.,self-modeling,8
The research team will collect all donations and send it to Save the Children.,donation-information,5
Have you heard of an organization called Save the Children?,source-related-inquiry,4
Do you mind if i give you a little information about them?,task-related-inquiry,0
"Just some ver basic info, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,1
They work 100% on donated funds.,credibility-appeal,1
"There is  a lack of support for children in developing countries, especially in war zones.",emotion-appeal,7
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",emotion-appeal,7
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",emotion-appeal,7
Your donation can address such problems.,logical-appeal,2
According t0 their yearend report they were able to reach 155 million children.,credibility-appeal,1
Over 200k of those kids were in the US.,credibility-appeal,1
Your donation will be directly deducted from your task payment.,donation-information,5
You can choose any amount from $0 to all your payment,donation-information,5
Have you donated to a similar charity?,task-related-inquiry,0
what do you know about the non-for-profit organization save the children,source-related-inquiry,4
"they are real missionaries and humans, provide help to help many children around the world",credibility-appeal,1
tell about your life,personal-related-inquiry,3
Can I ask you a question?,task-related-inquiry,0
Do you have any kids?,personal-related-inquiry,3
"Im sure you love them as your own, I have a big family do you?",personal-related-inquiry,3
Have you heard of this charity?,source-related-inquiry,4
It's great to know that there are others who feel the same way.,credibility-appeal,1
Have you heard of Save the Children?,source-related-inquiry,4
"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,1
And the money raised helps feed and clothe them.,logical-appeal,2
Its a lot of children that are starving and need our help.,emotion-appeal,7
I understand but even the smallest amount would be a BIG help.,foot-in-the-door,6
Do you ever donate to charity?,task-related-inquiry,0
Have you ever heard of Save the Children?,source-related-inquiry,4
"Their mission is to promote children's rights, and provide relief and support to children in developing countries.",credibility-appeal,1
They work in many countries across the world.,credibility-appeal,1
"For example, millions of children in Syria grow up facing the daily threat of violence.",emotion-appeal,7
A donation could help these children greatly.,logical-appeal,2
I do.,self-modeling,8
It is a great charity that does a lot of great work around the world.,logical-appeal,2
The majority of all donations collected goes directly toward the mission of helping children in developing counties.,credibility-appeal,1
They are a well established charity that has been working around the world for several years.,credibility-appeal,1
I am.,self-modeling,8
The research team will collect all donations and send it to Save the Children.,donation-information,5
"I wanted to talk to you about a charity Save the Children, have you heard of it?",source-related-inquiry,4
"It is a charity that helps ensure children's rights to healthcare, education, safety, etc. all over the world",credibility-appeal,1
even a few cents can add up!,foot-in-the-door,6
The research team will collect all the donations and send it to Save the Children.,donation-information,5
It is a trustworthy organizaition that will use your donation to the fullest,credibility-appeal,1
"You can find more information at their website,  URL",credibility-appeal,1
I'd like to talk to use about a vulnerable group.,task-related-inquiry,0
Do you have a moment?,task-related-inquiry,0
What was life like for you growing up?,personal-related-inquiry,3
Did you have to worry about your basic needs at all?,personal-related-inquiry,3
"Like food, place to live, safety, etc?",personal-related-inquiry,3
It is really difficult having to grow up having to worry about basic needs.,emotion-appeal,7
I'm glad you are able to look for what to be grateful for.,emotion-appeal,7
I guess there are more people than we know who grew up with no worries.,emotion-appeal,7
I grew up worrying about my safety and whether I'd have a place to live.,personal-story,9
My dad was a gambling addict.,personal-story,9
Thank you.,personal-story,9
"I really appreciate your sympathizing, and I'm glad I got to share that with someone.",personal-story,9
"No I didn't, but I now donate to them.",self-modeling,8
What about you?,personal-related-inquiry,3
I donate to Save the Children.,source-related-inquiry,4
Have you heard about them?,source-related-inquiry,4
"Also, did you know that not only are they helping children worldwide, they're helping children very near to us?",task-related-inquiry,0
"No actually, at the border.",credibility-appeal,1
"Children were separated at the US-Mexico border from their parents, and Save the Children are working on getting them back to their family.",credibility-appeal,1
Your donation will be directly deducted from your task payment.,donation-information,5
ou can choose any amount from $0 to all your payment.,donation-information,5
Have you heard of it?,source-related-inquiry,4
"It is an International Charity to help children's lives become more stable through education, food, and good health.",credibility-appeal,1
Save the Children.,credibility-appeal,1
I think that we need to help these children.,credibility-appeal,1
"It would be in the best interest of all of us to have healthy well educated children, especially in developing countries where children suffer the most. Don't you agree?",credibility-appeal,1
Many children in these countries live in a war zone.,emotion-appeal,7
"Places like Syria and parts of Nigeria are so dangerous that children do not have the chance of a happy, healthy life.",emotion-appeal,7
"If you could donate a small amount from your task payment, it would be big help to these unfortunate little people.",foot-in-the-door,6
You can donate any amount from your payment.,donation-information,5
It is up to you.,donation-information,5
Everything helps!,foot-in-the-door,6
You will also feel good about what you have done.,logical-appeal,2
There is no better feeling than helping another person.,logical-appeal,2
The name is Save the Children.,credibility-appeal,1
The research team will collect and send the donations to the charity.,donation-information,5
Every donation helps.,foot-in-the-door,6
Especially for the children in war zones where they are dying every day because they cannot get enough medical care.,emotion-appeal,7
I am sure that you have seen pictures of the bombing in Syria and the murder of innocent children in places like Nigeria and Somallis where terrorists are bombing their villages.,emotion-appeal,7
These children have no hope except for people like you and I.,emotion-appeal,7
Any amount will help.,foot-in-the-door,6
You can tell me how much you would like to donate from the money you are getting for this task. Any amount at all will help and it's automatic.,donation-information,5
For more information on this wonderful charity you can go to : URL and they will answer any questions about future donations.,credibility-appeal,1
"And if you are willing to make small donation now-just a few cents even, please let me know the amount and it will get passed on to the research team for processing today.",donation-information,5
All of the information on how this charity operates and what they are doing for children will be on the website  URL,credibility-appeal,1
Have you heard of Save the Children?,source-related-inquiry,4
Helping children in countries that are very war torn or in some form of conflict is what we help in.,credibility-appeal,1
"Everyday 16,000 children die before their 5th birthday, 1 out of 80 flee the country and risk everything, and 1 out of 6 kids aren't enrolled in a school or getting education that they need",emotion-appeal,7
"For roughly a dollar a day you can sponsor a child, you can choose a gift to spend to a child through our catalog, you could start a fundraiser, or you can just simply donate.",donation-information,5
"With that, keep in mind if you ever decide to make a monetary donation, 86% goes directly to the children, 9% fundraising, and 5% management and general.",donation-information,5
Just so you can have an idea that we use 9 out of 10 dollars directly on the children.,donation-information,5
I love getting the word out there on this charity.,logical-appeal,2
I strongly believe in it and its values on helping children.,logical-appeal,2
Children should be a priority in the world.,logical-appeal,2
They are our future.,logical-appeal,2
I have been supporting this charity for 15 years.,personal-story,9
"I also must clarify with you about your donation, if you so choose too.",donation-information,5
Your donation will be directly deducted from your task payment today.,donation-information,5
You can choose as little as $0 all the way up to all of your payment.,donation-information,5
"Did you know in the first two months of 2018 alone, over 1,000 children were killed or injured seriously by violence in Syria?",emotion-appeal,7
"Just know that your donation today, and hopefully the start of more to come, will help children like this.",logical-appeal,2
Every penny counts!!,foot-in-the-door,6
I dont think there is,donation-information,5
"Oh I see, it says here that it will be deducted from your task payment.",donation-information,5
Do you have a moment to chat about social issues?,task-related-inquiry,0
Specially the ones concerning children?,task-related-inquiry,0
What was life like for you as a kid?,personal-related-inquiry,3
"Did you ever have to worry about having enough to eat, where to live, etc?",personal-related-inquiry,3
What do you think of the kids who weren't born as lucky?,emotion-appeal,7
Who have to worry about having enough to eat to even be full?,emotion-appeal,7
With no place to live?,emotion-appeal,7
Have you heard about Save the Children?,source-related-inquiry,4
"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,1
They are a fantastic charity.,credibility-appeal,1
"Not only are they helping children worldwide, they're helping kids closer to home near the US as well.",credibility-appeal,1
Your donation will be directly deducted from your task payment.,donation-information,5
You can choose any amount from $0 to all your payment.,donation-information,5
Not everyone has it so it's good that you appreciate it,emotion-appeal,7
my parents were always in a good situation to be able to raise me well.,emotion-appeal,7
but there are a lot of kids in the world who arent so fortunate',emotion-appeal,7
"im working for this organization right now Save the Children, do you know of it?",source-related-inquiry,4
its an NGO that helps children around the world.,credibility-appeal,1
"kind of like those cheesy commercials you used to see on TV, but these guys actually do some really good work",credibility-appeal,1
have you ever thought about volunteering for something like this?,personal-related-inquiry,3
"well you can't know entirely that they are legit until you come and volunteer, but save the children has a different kind of structure hierarchy, the director takes a minimum salary etc and all the spending is quite transparent, if you wanna check out the website",credibility-appeal,1
URL check it out,credibility-appeal,1
"if you go to resource library, click on annual support and scroll down",credibility-appeal,1
"I'm working for Save The Children organisation, have you heard about it?",source-related-inquiry,4
Save the Children is an international NGO that promotes children's rights and provides relief and helps support children in developing countries,credibility-appeal,1
"they ensure children's rights to health ,education and safety.",credibility-appeal,1
They are currently helping Syrian children,credibility-appeal,1
"yes, You can donate as little as 1 cent and as much as 2 dollars.",donation-information,5
your donation will be directly deducted from your task payment,donation-information,5
1000 children were killed or injured and the donations can address these problems.,emotion-appeal,7
"Our organization gives shelter to those kids, feed them and take care of them",credibility-appeal,1
"yes, 86% of all the donations goes to programs and the rest goes to maintaining the fund, ads, etc",credibility-appeal,1
They are actually helping children at the US Mexican border to reunite with their parents,credibility-appeal,1
I have a son and I can't imagine seeing him hungry or in pain or afraid of being killed.,emotion-appeal,7
i want to help all the children in the world,emotion-appeal,7
a couple of cents or a couple of dollars might not make a difference in your life but it can make a huge impact on some child's life,foot-in-the-door,6
I want to tell you a little about a charity called Save the Children.,source-related-inquiry,4
It is a non-profit organization that acts globally to promote children's rights.,credibility-appeal,1
It also helps children in developing countries obtain necessary support and relief from their poverty and other troubles.,credibility-appeal,1
It's truly a great organization that does amazing work.,credibility-appeal,1
Save the Children also a great and very professional organization.,credibility-appeal,1
They are credentialed internationally and have a great reputation for using their money wisely.,credibility-appeal,1
Children everyday are dying of hunger and violence so it's really important to donate to help them.,emotion-appeal,7
